Time	t: 0 -> 0.125	t: 0.0625 -> 0.1875	t: 0.125 -> 0.25	t: 0.1875 -> 0.3125	t: 0.25 -> 0.375	t: 0.3125 -> 0.4375	t: 0.375 -> 0.5	t: 0.4375 -> 0.5625	t: 0.5 -> 0.625	t: 0.5625 -> 0.6875	t: 0.625 -> 0.75	t: 0.6875 -> 0.8125	t: 0.75 -> 0.875	t: 0.8125 -> 0.9375	t: 0.875 -> 1	t: 0.9375 -> 1.0625	t: 1 -> 1.125
0	-0.0651542	0.170715	0.309775	0.0359325	0.39038	-0.0537787	-0.235301	0.481378	1.04399	0.230277	0.0351258	0.0208611	0.14792	-0.146941	-0.448721	-0.0216298	0.319323
0.00012207	0.00792603	0.217107	-0.112486	-0.0300518	0.345097	-0.0733083	0.0333581	-0.0406926	-0.242859	0.204545	0.031828	0.0400465	0.143661	-0.120378	-0.460324	-0.0332275	0.234577
0.000244141	-0.0395539	0.242012	0.160216	-0.103539	0.297153	-0.0875013	-0.0472606	0.0914314	0.445006	0.0263982	0.0290186	0.0595888	0.138449	-0.0935377	-0.539771	-0.0442974	-0.111011
0.000366211	-0.371747	0.24273	0.270804	-0.176362	0.251251	-0.0945814	-0.388556	0.433326	-0.218837	0.142099	0.0267105	0.0792427	0.132278	-0.0667067	-0.481156	-0.0547826	-0.156946
0.000488281	0.0331414	0.219183	-0.177182	-0.240452	0.211953	-0.0934151	-0.325064	0.035955	0.0643793	0.286793	0.024913	0.0987626	0.125152	-0.0401719	-0.625956	-0.0646329	-0.538647
0.000610352	0.447228	0.173933	-0.00525488	-0.288734	0.183182	-0.0836642	0.0727631	-0.143208	-0.446073	-0.185259	0.0236313	0.117904	0.117082	-0.0142172	-0.4974	-0.0738053	0.197154
0.000732422	-0.299295	0.111911	0.0863066	-0.315915	0.167775	-0.0658663	0.128352	0.683513	-0.23496	0.439738	0.0228668	0.136427	0.108085	0.0108788	-0.70478	-0.0822643	-0.115692
0.000854492	0.0504693	0.0398987	-0.314297	-0.319066	0.167143	-0.0414249	-0.123371	-0.32692	0.340778	-0.102986	0.0226167	0.154097	0.0981907	0.0348453	-0.507637	-0.0899821	-0.437409
0.000976562	-0.110736	-0.0341961	-0.154837	-0.297945	0.181075	-0.0125079	-0.0301413	0.102784	0.742512	0.140066	0.0228748	0.170688	0.0874331	0.0574218	-0.773918	-0.0969392	-0.403206
0.00109863	-0.144576	-0.102188	-0.0689672	-0.255023	0.207715	0.0181444	0.362078	0.592179	-0.310551	0.194688	0.023631	0.185985	0.0758559	0.0783607	-0.510618	-0.103124	-0.335508
0.0012207	0.387838	-0.156502	-0.3855	-0.195201	0.243717	0.0474849	0.375658	-0.497998	-0.330506	0.00631251	0.0248715	0.199786	0.0635102	0.0974294	-0.83129	-0.108533	0.277394
0.00134277	-0.35521	-0.190992	-0.142115	-0.125269	0.284576	0.0724757	0.0227107	0.509581	0.958471	0.0614414	0.0265792	0.211902	0.0504548	0.114412	-0.505325	-0.113172	-0.135255
0.00146484	-0.149446	-0.201627	-0.0404857	-0.0531494	0.32509	0.0904211	-0.0260267	0.160553	-0.316305	0.312006	0.0287336	0.222162	0.0367555	0.129113	-0.875135	-0.117054	-0.402117
0.00158691	-0.00312687	-0.186937	-0.31666	0.0129882	0.35992	0.0992823	0.237929	-0.111477	1.40665	-0.225293	0.0313113	0.230412	0.0224845	0.141356	-0.491018	-0.120199	0.369334
0.00170898	-0.270504	-0.148201	0.0325454	0.0656309	0.384183	0.0979373	0.158869	0.425835	0.474596	0.408629	0.0342858	0.236518	0.0077205	0.15099	-0.904061	-0.122635	0.163202
0.00183105	-0.295128	-0.0893253	0.165997	0.0987609	0.394007	0.0863518	-0.264756	0.0643847	0.165591	-0.0501089	0.037628	0.240365	-0.00745244	0.157885	-0.467277	-0.124399	0.299621
0.00195312	-0.489118	-0.0164455	-0.165305	0.108525	0.387001	0.0656372	-0.349927	0.206571	0.526473	0.104765	0.0413061	0.241863	-0.0229454	0.161938	-0.917099	-0.125532	-0.206258
0.0020752	0.11648	0.0627219	0.212149	0.093664	0.362559	0.0379827	-0.0513152	0.0916909	0.096946	0.236057	0.0452862	0.240941	-0.0386653	0.163073	-0.434028	-0.126083	-0.329936
0.00219727	-0.211875	0.139707	0.383813	0.0556587	0.321989	0.0064603	-0.0287632	0.345964	-0.705789	0.0737131	0.0495324	0.237555	-0.0545157	0.161239	-0.913728	-0.126105	0.228173
0.00231934	-0.473167	0.206204	-0.0652658	-0.00143457	0.268415	-0.0252797	-0.330491	-0.00737205	-0.0607644	0.0614382	0.0540069	0.231681	-0.0703977	0.156415	-0.391559	-0.125656	0.229867
0.00244141	0.0154375	0.254983	0.222328	-0.0714299	0.206481	-0.0533954	-0.295643	0.12808	0.119439	0.424181	0.0586704	0.223323	-0.0862106	0.148606	-0.8939	-0.124799	-0.0402342
0.00256348	-0.3414	0.280692	0.430364	-0.146697	0.141869	-0.0742817	0.130827	0.325812	0.00559403	-0.153795	0.0634823	0.212506	-0.101853	0.137845	-0.340517	-0.1236	0.0399698
0.00268555	-0.200612	0.280469	-0.099619	-0.219008	0.0806878	-0.0849915	0.269911	-0.212742	0.386954	0.46789	0.0684007	0.199279	-0.117224	0.124195	-0.858029	-0.122125	0.270897
0.00280762	0.107514	0.254283	0.0373382	-0.280453	0.0287899	-0.0836021	0.0234751	0.327123	0.201306	0.108201	0.0733832	0.183718	-0.132223	0.107743	-0.281897	-0.120445	0.1255
0.00292969	0.0193354	0.204974	0.271735	-0.324321	-0.00889628	-0.0694808	0.0391536	-0.0590603	0.464014	0.177437	0.0783865	0.165917	-0.146753	0.0886053	-0.80699	-0.11863	-0.262667
0.00305176	-0.00612498	0.137973	-0.221138	-0.345853	-0.0289535	-0.0434135	0.40431	0.070894	-0.146615	0.35997	0.0833672	0.145994	-0.160718	0.0669214	-0.217015	-0.116748	-0.603516
0.00317383	0.0559231	0.0607422	-0.183567	-0.342779	-0.0299056	-0.00757409	0.453562	0.10703	0.312533	0.24007	0.0882817	0.12409	-0.174028	0.0428566	-0.742076	-0.114869	-0.60617
0.0032959	-0.016333	-0.0180288	0.0577921	-0.315577	-0.012438	0.034667	0.0734773	-0.084612	-0.611035	0.138514	0.0930862	0.100361	-0.186595	0.0165987	-0.147461	-0.113059	-0.0735111
0.00341797	-0.0958047	-0.0893626	-0.297086	-0.267429	0.0206234	0.0790833	-0.0712366	0.349883	0.500772	0.59351	0.0977377	0.0749857	-0.19834	-0.0116429	-0.664963	-0.111381	-0.332034
0.00354004	0.165016	-0.144986	-0.233847	-0.203879	0.0645786	0.121046	0.162853	-0.283585	-0.139492	-0.0176865	0.102193	0.0481558	-0.209189	-0.0416396	-0.0750569	-0.109895	-0.144183
0.00366211	-0.0192071	-0.178255	-0.00892177	-0.132221	0.113344	0.156043	0.137621	0.389328	-1.06051	0.552129	0.106411	0.0200797	-0.219075	-0.0731451	-0.577649	-0.108655	-0.160845
0.00378418	-0.0533646	-0.184919	-0.238153	-0.0606907	0.160114	0.18021	-0.277359	0.120948	-0.785141	0.282155	0.11035	-0.00902197	-0.227939	-0.105898	-0.0017845	-0.107712	-0.229044
0.00390625	0.049149	-0.163622	-0.053431	0.00245007	0.198126	0.190799	-0.417604	-0.202633	-1.10821	0.256089	0.113971	-0.0389177	-0.235732	-0.139622	-0.482389	-0.107109	0.111561
0.00402832	-0.121956	-0.116101	0.143884	0.0498364	0.221442	0.186544	-0.110804	0.620937	0.096661	0.445522	0.117234	-0.0693675	-0.242413	-0.174034	0.0702774	-0.106883	-0.392268
0.00415039	-0.349055	-0.0470383	-0.0884527	0.0758294	0.225653	0.167863	0.000144034	-0.185132	0.100273	0.367929	0.120103	-0.100125	-0.247952	-0.208839	-0.381616	-0.107063	0.0258125
0.00427246	-0.4459	0.0364194	0.202062	0.0771558	0.208429	0.136868	-0.266572	0.131078	-0.306911	0.148725	0.122541	-0.130938	-0.252327	-0.243737	0.13903	-0.107672	0.310057
0.00439453	0.237143	0.125418	0.389698	0.0532869	0.169843	0.0971838	-0.278378	0.344666	0.339133	0.661119	0.124517	-0.161556	-0.255529	-0.278426	-0.277863	-0.108723	0.0156583
0.0045166	-0.154248	0.210361	0.0136902	0.00651315	0.112423	0.0535733	0.145045	-0.087502	-0.136856	0.0194314	0.125997	-0.191725	-0.257558	-0.312604	0.202431	-0.110222	0.397378
0.00463867	-0.526914	0.281969	0.292434	-0.0582967	0.040927	0.0114235	0.350169	0.0303725	-0.585765	0.497017	0.126954	-0.221198	-0.258425	-0.34597	-0.173678	-0.112166	-0.00791201
0.00476074	0.0941589	0.332329	0.515297	-0.134226	-0.038156	-0.0238654	0.111097	0.208938	-0.348877	0.301234	0.127358	-0.249729	-0.258152	-0.37823	0.258572	-0.114544	0.167975
0.00488281	-0.307648	0.355799	-0.0286075	-0.213073	-0.11731	-0.0475122	0.0469718	0.00279952	-0.204605	0.178216	0.127186	-0.277082	-0.256773	-0.409094	-0.0715403	-0.117335	0.357944
0.00500488	-0.126519	0.349678	0.11493	-0.286264	-0.188838	-0.0559361	0.375495	-0.329547	-0.54737	0.335246	0.126416	-0.303031	-0.25433	-0.438287	0.30575	-0.12051	-0.160963
0.00512695	-0.070307	0.314563	0.4146	-0.345813	-0.245747	-0.0472166	0.468744	0.499153	-0.0577423	0.305868	0.125028	-0.327359	-0.250877	-0.465542	0.0262192	-0.124034	-0.156023
0.00524902	-0.202881	0.254324	-0.169222	-0.38522	-0.28258	-0.0213733	0.0910248	-0.360805	-0.363997	-0.0406826	0.123006	-0.349867	-0.246476	-0.490611	0.342534	-0.12786	-0.224191
