Time	Amplitude(Raw)		Time	Amplitude(windowed)		Hz	PSD		Time	Amplitude(denoised)
0	-0.304914		0	-0		0	0.482522		0	-0.0341225
0.000244141	-2.45738		0.000244141	-1.44632e-06		1	0.557906		0.000244141	0.0948553
0.000488281	2.22342		0.000488281	5.23447e-06		2	1.90668		0.000488281	0.221511
0.000732422	-1.93531		0.000732422	-1.02514e-05		3	1.056		0.000732422	0.342654
0.000976562	1.05674		0.000976562	9.95126e-06		4	0.279066		0.000976562	0.455265
0.0012207	3.03209		0.0012207	4.46141e-05		5	2.75015		0.0012207	0.556599
0.00146484	1.42136		0.00146484	3.01159e-05		6	3.09269		0.00146484	0.644266
0.00170898	0.155306		0.00170898	4.47892e-06		7	5.0548		0.00170898	0.716307
0.00195312	2.72732		0.00195312	0.000102731		8	2.4872		0.00195312	0.771256
0.00219727	2.13482		0.00219727	0.000101773		9	0.69455		0.00219727	0.808182
0.00244141	6.96944		0.00244141	0.000410186		10	2.37798		0.00244141	0.826716
0.00268555	2.57508		0.00268555	0.000183382		11	3.39633		0.00268555	0.827058
0.00292969	4.15145		0.00292969	0.000351837		12	5.76473		0.00292969	0.809966
0.00317383	3.47902		0.00317383	0.000346035		13	5.58782		0.00317383	0.776724
0.00341797	1.09441		0.00341797	0.000126244		14	1.77127		0.00341797	0.729097
0.00366211	0.442246		0.00366211	5.85625e-05		15	0.263693		0.00366211	0.669266
0.00390625	-0.581253		0.00390625	-8.7574e-05		16	0.555157		0.00390625	0.599749
0.00415039	4.24791		0.00415039	0.000722505		17	0.53485		0.00415039	0.52332
0.00439453	-1.5286		0.00439453	-0.000291477		18	0.552627		0.00439453	0.442904
0.00463867	-6.03577		0.00463867	-0.00128233		19	1.71621		0.00463867	0.361481
0.00488281	-1.44663		0.00488281	-0.000340545		20	0.796789		0.00488281	0.281985
0.00512695	-0.967125		0.00512695	-0.000251001		21	4.66374		0.00512695	0.207199
0.00537109	-4.83335		0.00537109	-0.00137672		22	6.57289		0.00537109	0.139664
0.00561523	0.219659		0.00561523	6.83837e-05		23	10.5801		0.00561523	0.081594
0.00585938	-2.22973		0.00585938	-0.000755818		24	13.5423		0.00585938	0.0347972
0.00610352	-0.0863171		0.00610352	-3.17479e-05		25	6.5244		0.00610352	0.000619978
0.00634766	-0.547285		0.00634766	-0.000217718		26	2.21508		0.00634766	-0.0200994
0.0065918	-1.78807		0.0065918	-0.000767081		27	5.19107		0.0065918	-0.0270565
0.00683594	-0.250111		0.00683594	-0.000115391		28	3.13496		0.00683594	-0.0204889
0.00708008	2.12913		0.00708008	0.00105371		29	0.146224		0.00708008	-0.0011651
0.00732422	0.997797		0.00732422	0.000528445		30	0.398119		0.00732422	0.0296442
0.00756836	-1.72675		0.00756836	-0.000976477		31	4.93708		0.00756836	0.070213
0.0078125	3.75748		0.0078125	0.00226413		32	4.51586		0.0078125	0.118422
0.00805664	2.38094		0.00805664	0.00152572		33	1.10574		0.00805664	0.171836
0.00830078	-0.353792		0.00830078	-0.000240657		34	0.893609		0.00830078	0.227788
0.00854492	2.28165		0.00854492	0.00164465		35	2.12138		0.00854492	0.283478
0.00878906	3.73701		0.00878906	0.00284978		36	4.60611		0.00878906	0.336069
0.0090332	0.918819		0.0090332	0.000740132		37	1.0581		0.0090332	0.382793
0.00927734	0.16547		0.00927734	0.000140591		38	0.403267		0.00927734	0.421046
0.00952148	3.80767		0.00952148	0.00340762		39	2.01727		0.00952148	0.448486
0.00976562	-2.3302		0.00976562	-0.00219366		40	4.70662		0.00976562	0.463114
0.0100098	0.622533		0.0100098	0.000615714		41	1.66312		0.0100098	0.463352
0.0102539	-0.264601		0.0102539	-0.000274619		42	0.721533		0.0102539	0.448099
0.010498	1.02297		0.010498	0.00111284		43	3.62163		0.010498	0.416779
0.0107422	4.92214		0.0107422	0.00560643		44	2.58518		0.0107422	0.369362
