Hz	t: 0 -> 0.125	t: 0.0625 -> 0.1875	t: 0.125 -> 0.25	t: 0.1875 -> 0.3125	t: 0.25 -> 0.375	t: 0.3125 -> 0.4375	t: 0.375 -> 0.5	t: 0.4375 -> 0.5625	t: 0.5 -> 0.625	t: 0.5625 -> 0.6875	t: 0.625 -> 0.75	t: 0.6875 -> 0.8125	t: 0.75 -> 0.875	t: 0.8125 -> 0.9375	t: 0.875 -> 1	t: 0.9375 -> 1.0625	t: 1 -> 1.125	Average PSD:
0	0.0011213	0.000204617	0.000119484	2.4928e-05	0.000179462	0.00133149	0.000694816	0.00227753	0.0047066	0.000236378	0.000513989	0.00185897	0.00377288	0.00339208	5.48548e-05	0.00150998	0.00116401	0.00136255
8	0.00325944	0.000652096	0.000705064	0.00229767	0.000211291	0.000234741	0.00106322	0.00159823	0.00392137	0.000297038	1.52195e-05	0.000341421	0.000801966	0.00198072	5.35327e-05	0.000910087	0.00155204	0.0011703
16	0.00621391	0.0149902	0.0158613	0.0222081	0.0128973	0.0210919	0.0199319	0.00567579	0.00393026	0.00130975	0.000270074	9.42844e-05	4.61962e-05	0.000414409	4.61123e-06	0.00114328	0.00286827	0.00758538
24	0.00544109	0.0138036	0.0171421	0.0141425	0.022302	0.0228556	0.0130033	0.0141834	0.00803401	0.000680767	0.000219397	9.33523e-05	0.00034296	0.000129007	9.79115e-05	0.000153512	0.00376027	0.00802263
32	0.00265025	0.000577449	0.00136982	0.000758452	0.0023114	0.000990441	0.000278451	0.000598668	0.00632644	0.000395785	0.000788947	0.000545335	0.000616351	0.000870917	5.9272e-05	0.000842231	0.00273527	0.0013362
40	0.00117909	9.65631e-05	0.00034164	0.000307758	0.00205461	0.000390122	0.000467747	0.00162744	0.00433631	0.0017215	0.00244004	0.0020586	0.000831313	0.00499844	0.00337499	0.00568832	0.00351629	0.00208416
48	0.000620256	0.00064941	0.000555114	0.000699266	0.0047608	0.00181715	0.000167173	0.00139598	0.00483538	0.0171369	0.0191597	0.0220952	0.0178359	0.0283448	0.0171022	0.0193237	0.0054715	0.00952767
56	0.000159337	0.000683747	0.000584287	0.00027444	0.000514283	0.00152425	0.000572914	0.00323751	0.00440995	0.0101639	0.0124014	0.00827979	0.00787964	0.0148322	0.00624259	0.0112978	0.00356338	0.00509537
64	3.6279e-05	0.000216108	0.000468406	0.000587884	0.000282954	0.00213105	0.00180665	0.0037963	0.00231343	0.0018813	0.000768302	0.000300911	0.000672011	0.00135109	0.000788744	0.00262113	0.000711703	0.00121966
72	0.000164758	0.00055864	0.000450868	0.000106372	0.000354202	0.000875332	0.00109891	0.00298754	0.00206695	0.00337019	4.40052e-05	0.000283375	0.00297294	0.000587234	0.000432323	0.00099761	5.02494e-06	0.00102096
80	0.000258363	0.000638192	0.000445341	0.00147767	0.000258218	0.000437309	0.000163338	0.000526218	0.000225882	0.00181856	0.00118995	3.88791e-05	0.00383051	2.39747e-05	0.000449146	2.51879e-06	0.000253708	0.000708104
88	0.000213787	0.00076808	0.000456076	0.0010781	1.41989e-05	0.000758911	0.00169083	0.000144425	9.8816e-05	0.0001228	0.00111406	0.000150709	0.00224674	0.000286362	0.000224767	8.26863e-05	0.000549398	0.00058828
96	9.94479e-05	0.00089777	0.000727568	5.93229e-05	4.54351e-06	0.000129625	0.0010427	0.00121665	0.00145217	0.000442117	0.000835325	0.000159199	0.000909732	0.000511933	0.00163107	0.000207546	0.000558908	0.000640331
104	7.35815e-05	0.00011889	0.00044965	0.00108284	0.000135389	0.000894657	0.00132935	0.00366954	7.31664e-05	0.000714661	0.000630997	0.00012039	0.00134403	0.0007112	0.00102765	0.000126309	0.000756892	0.000779953
112	0.000149854	0.000126475	0.000853658	0.00130095	0.00112511	0.000296589	0.000277672	0.00188708	0.00405354	0.00312575	0.006608	0.00912921	0.006585	0.00593556	0.0100527	0.00682329	0.00318218	0.00361839
120	0.000181477	7.59143e-05	6.77761e-05	0.00118698	0.000582558	0.000298884	0.000558564	0.000899663	0.00245031	0.0201745	0.0245497	0.0289057	0.0323344	0.0286642	0.0312257	0.0261872	0.00558195	0.0119956
