Time	Clean	Noisy	Reconstructed
0	0	-0.304914	-0.306699
0.00012207	0.353673	-2.36337	-0.0952461
0.000244141	0.667437	2.37816	-0.51414
0.000366211	0.906089	-1.78188	0.211147
0.000488281	1.04328	1.12646	1.0373
0.000610352	1.06465	2.92673	1.13185
0.000732422	0.969454	1.05347	0.346659
0.000854492	0.770737	-0.545856	0.203063
0.000976562	0.493728	1.65006	0.782181
0.00109863	0.172894	0.674643	0.520983
0.0012207	-0.152132	5.15956	0.909687
0.00134277	-0.441229	0.488074	0.432326
0.00146484	-0.658515	1.89389	0.289677
0.00158691	-0.776585	1.18194	0.634051
0.00170898	-0.77974	-1.09934	-0.575764
0.00183105	-0.665841	-1.50787	-0.483035
0.00195312	-0.44656	-2.16445	-0.0429021
0.0020752	-0.146007	3.12505	0.649885
0.00219727	0.202117	-2.13749	0.567599
0.00231934	0.558493	-6.12242	-0.581378
0.00244141	0.88282	-1.04903	0.296366
0.00256348	1.13857	-0.165344	0.206185
0.00268555	1.2973	-3.74092	0.297778
0.00280762	1.34198	1.4679	0.972288
0.00292969	1.26906	-0.967499	0.540173
0.00305176	1.08882	1.05591	1.1338
0.00317383	0.824202	0.362501	0.670784
0.0032959	0.508082	-1.19055	0.0269552
0.00341797	0.179406	-0.00493997	0.126384
0.00354004	-0.121412	2.0242	0.424258
0.00366211	-0.357254	0.585026	1.06268
0.00378418	-0.498681	-2.37186	0.328003
0.00390625	-0.527399	2.97837	0.128455
0.00402832	-0.438422	1.57633	0.104839
0.00415039	-0.24066	-1.07874	-0.140945
0.00427246	0.0441356	1.72556	0.414252
0.00439453	0.383931	3.41274	0.696994
0.0045166	0.740194	0.856395	0.921092
0.00463867	1.07243	0.359647	0.819798
0.00476074	1.34298	4.22015	1.07364
0.00488281	1.52142	-1.76427	0.633764
0.00500488	1.58819	1.26048	0.291361
0.00512695	1.53688	0.359485	1.28526
0.00524902	1.37501	1.55568	1.18964
0.00537109	1.12309	5.30625	1.25756
0.00549316	0.812256	0.78665	0.583151
0.00561523	0.480576	-0.533444	-0.182019
0.0057373	0.168551	-0.61959	0.250622
0.00585938	-0.0856499	-1.60305	0.00603797
0.00598145	-0.250698	-4.24151	0.456305
0.00610352	-0.305798	-2.7761	-0.000468352
0.00622559	-0.243141	1.74971	0.180566
0.00634766	-0.0688258	2.69293	0.898274
0.00646973	0.197857	-3.11607	-0.488175
0.0065918	0.526705	-1.90267	0.11314
0.00671387	0.880161	4.80409	1.05493
0.00683594	1.21775	1.61459	1.54142
0.00695801	1.50084	1.09608	1.92901
0.00708008	1.69721	5.24264	0.980437
0.00720215	1.78484	-3.19926	1.33218
0.00732422	1.75454	3.17443	1.38905
